cbo2002,titulo_cbo2002,cbo94,ciuo88
2241-15,Preparador de atleta,1-81.45,3475
2241-20,Preparador físico,1-81.25,3475
2241-35,Treinador profissional de futebol,1-81.30,3475
2251-06,Médico legista e perito médico,0-61.37,2221
2251-09,Médico nefrologista,0-61.38,2221
2251-12,Médico neurologista,0-61.42,2221
2251-15,Médico angiologista,0-61.75,2221
2251-20,Médico cardiologista,0-61.17,2221
2251-24,Médico pediatra,0-61.55,2221
2251-25,Médico clínico,0-61.05,2221
2251-27,Médico pneumologista,0-61.57,2221
2251-33,Médico psiquiatra,0-61.62,2221
2251-35,Médico dermatologista,0-61.19,2221
2251-39,Médico em medicina preventiva e social,0-61.40,2221
2251-40,Médico do trabalho,0-61.22,2221
2251-51,Médico anestesiologista,0-61.15,2221
2251-55,Médico endocrinologista e metabologista,0-61.25,2221
2251-60,Médico fisiatra,0-61.28,2221
2251-95,Médico homeopata,0-61.48,2221
2252-25,Médico cirurgião geral,0-61.10,2221
2252-35,Médico cirurgião plástico,0-61.80,2221
2252-50,Médico ginecologista e obstetra,0-61.32,2221
2252-65,Médico oftalmologista,0-61.47,2221
2252-70,Médico ortopedista e traumatologista,0-61.50,2221
2252-75,Médico otorrinolaringologista,0-61.52,2221
2252-80,Médico coloproctologista,0-61.60,2221
2252-85,Médico urologista,0-61.70,2221
2253-10,Médico em endoscopia,0-61.27,2221
2253-20,Médico em radiologia e diagnóstico por imagem,0-61.65,2221
2253-30,Médico radioterapeuta,0-61.67,2221
2312-10,Professor de nível superior do ensino fundamental (primeira a quarta série),1-42.20,2332
2313-05,Professor de ciências exatas e naturais do ensino fundamental,1-42.50,2331
2313-25,Professor de história do ensino fundamental,1-42.60,2331
2313-35,Professor de língua portuguesa do ensino fundamental,1-42.30,2331
2313-40,Professor de matemática do ensino fundamental,1-42.40,2331
2321-10,Professor de biologia no ensino médio,1-41.60,2320
2321-15,Professor de disciplinas pedagógicas no ensino médio,1-41.65,2320
2321-30,Professor de física no ensino médio,1-41.50,2320
2321-35,Professor de geografia no ensino médio,1-41.25,2320
2321-40,Professor de história no ensino médio,1-41.30,2320
2321-45,Professor de língua e literatura brasileira no ensino médio,1-41.15,2320
2321-50,Professor de língua estrangeira moderna no ensino médio,1-41.20,2320
2321-55,Professor de matemática no ensino médio,1-41.45,2320
2321-60,Professor de psicologia no ensino médio,1-41.40,2320
2321-65,Professor de química no ensino médio,1-41.55,2320
2331-10,Professor de desenho técnico do ensino profissional,1-44.30,2320
2331-15,Professor de técnicas agrícolas,1-41.80,2320
2331-20,Professor de técnicas comerciais e secretariais,1-41.75,2320
2331-25,Professor de técnicas de enfermagem,1-41.85,2320
2331-30,Professor de técnicas industriais,1-41.70,2320
2331-35,Professor de tecnologia e cálculo técnico,1-44.20,2320
2332-05,Instrutor de aprendizagem e treinamento agropecuário,1-44.60,2320
2332-10,Instrutor de aprendizagem e treinamento industrial,1-44.40,2320
2332-15,Instrutor de aprendizagem e treinamento comercial,1-44.50,2320
2341-15,Professor de estatística (no ensino superior),1-34.10,2310
2341-25,Professor de pesquisa operacional (no ensino superior),1-39.60,2310
2342-05,Professor de física (ensino superior),1-32.10,2310
2342-10,Professor de química (ensino superior),1-32.05,2310
2342-15,Professor de astronomia (ensino superior),1-39.40,2310
2343-05,Professor de arquitetura,1-39.50,2310
2343-20,Professor de geologia,1-39.30,2310
2344-05,Professor de ciências biológicas do ensino superior,1-37.20,2310
2344-15,Professor de enfermagem do ensino superior,1-37.80,2310
2344-20,Professor de farmácia e bioquímica,1-37.65,2310
2344-25,Professor de fisioterapia,1-37.85,2310
2345-05,Professor de ensino superior na área de didática,1-31.20,2310
2345-10,Professor de ensino superior na área de orientação educacional,1-31.40,2310
2345-15,Professor de ensino superior na área de pesquisa educacional,1-31.50,2310
2345-20,Professor de ensino superior na área de prática de ensino,1-31.30,2310
2346-16,Professor de língua inglesa,1-38.30,2310
2346-24,Professor de língua portuguesa,1-38.20,2310
2346-48,Professor de literatura francesa,1-38.40,2310
2346-72,Professor de linguística e linguística aplicada,1-38.50,2310
2346-76,Professor de filologia e crítica textual,1-39.65,2310
2347-05,Professor de antropologia do ensino superior,1-36.45,2310
2347-20,Professor de ciência política do ensino superior,1-36.60,2310
2347-35,Professor de filosofia do ensino superior,1-36.50,2310
2347-40,Professor de geografia do ensino superior,1-36.70,2310
2347-45,Professor de história do ensino superior,1-36.55,2310
2347-60,Professor de psicologia do ensino superior,1-36.80,2310
2347-70,Professor de sociologia do ensino superior,1-36.65,2310
2348-05,Professor de economia,1-35.10,2310
2348-10,Professor de administração,1-35.60,2310
2348-15,Professor de contabilidade,1-35.70,2310
2392-05,Professor de alunos com deficiência auditiva e surdos,1-45.40,2340
2392-15,Professor de alunos com deficiência mental,1-45.20,2340
2392-25,Professor de alunos com deficiência visual,1-45.30,2340
2394-05,Coordenador pedagógico,1-49.50,2351
2394-10,Orientador educacional,1-49.40,2351
2394-15,Pedagogo,1-49.45,2351
2394-20,Professor de técnicas e recursos audiovisuais,1-49.60,2351
2394-30,Supervisor de ensino,1-49.30,2351
2410-05,Advogado,1-21.10,2421
2410-15,Advogado (direito civil),1-21.20,2421
2410-25,Advogado (direito penal),1-21.50,2421
2410-35,Advogado (direito do trabalho),1-21.40,2421
2410-40,Consultor jurídico,1-29.50,2421
2412-10,Procurador autárquico,1-29.30,2429
2412-15,Procurador da fazenda nacional,1-29.20,2429
2413-35,Tabelião de notas,3-14.20,2429
2423-05,Delegado de polícia,3-13.20,2429
2511-05,Antropólogo,1-92.40,2442
2511-10,Arqueólogo,1-92.45,2442
2511-15,Cientista político,1-92.70,2442
2511-20,Sociólogo,1-92.20,2442
2512-05,Economista,0-91.10,2441
2512-15,Economista financeiro,0-91.30,2441
2512-25,Economista do setor público,0-91.20,2441
2513-05,Geógrafo,1-92.50,2442
2515-05,Psicólogo educacional,0-74.25,2445
2515-10,Psicólogo clínico,0-74.35,2445
2515-15,Psicólogo do esporte,0-74.55,2445
2515-25,Psicólogo jurídico,0-74.50,2445
2515-30,Psicólogo social,0-74.60,2445
2515-35,Psicólogo do trânsito,0-74.45,2445
2515-40,Psicólogo do trabalho,0-74.15,2445
2516-05,Assistente social,0-73.10,2446
2516-10,Economista doméstico,1-92.25,2446
2521-05,Administrador,0-92.20,2419
2522-05,Auditor (contadores e afins),0-99.10,2411
2522-10,Contador,0-93.10,2411
2523-10,Secretário bilíngue,3-21.15,3439
2524-05,Analista de recursos humanos,1-97.35,2412
2525-10,Analista de câmbio,0-99.40,2149
2531-10,Redator de publicidade,1-52.70,2419
2531-15,Publicitário,1-59.47,2419
2531-40,Agenciador de propaganda,4-42.30,3415
2611-25,Jornalista,1-52.10,2451
2611-35,Repórter (exclusive rádio e televisão),1-52.40,2451
2612-05,Bibliotecário,1-91.20,2432
2612-10,Documentalista,1-91.25,2432
2613-05,Arquivista,1-91.30,2431
2613-10,Museólogo,1-91.40,2431
2614-05,Filólogo,1-95.20,2444
2614-10,Intérprete,1-95.40,2444
2614-20,Tradutor,1-95.30,2444
2615-05,Autor-roteirista,1-52.50,2451
2615-10,Crítico,1-51.30,2451
2615-15,Escritor de ficção,1-51.20,2451
2615-30,Redator de textos técnicos,1-52.80,2451
2616-10,Editor de livro,1-59.45,2451
2617-10,Comentarista de mídias audiovisuais,1-53.30,3472
2617-15,Locutor de mídias audiovisuais,1-53.10,2451
2618-05,Fotógrafo,1-63.10,3131
2618-10,Fotógrafo publicitário,1-63.30,3131
2618-15,Fotógrafo retratista,1-63.20,3131
2618-20,Repórter fotográfico,1-63.40,3131
2621-05,Produtor cultural,1-74.50,2455
2621-10,Produtor cinematográfico,1-74.30,2455
2621-15,Produtor de rádio,1-74.40,2455
2621-20,Produtor de teatro,1-74.20,2455
2622-05,Diretor de cinema,1-73.45,2455
2622-20,Diretor teatral,1-73.30,2455
2624-10,Desenhista industrial gráfico (designer gráfico),0-22.70,2452
2625-05,Ator,1-73.20,2455
2626-05,Compositor,1-71.20,2453
2626-10,Músico arranjador,1-71.30,2453
2626-15,Músico regente,1-71.35,2453
2627-05,Músico intérprete cantor,1-71.45,2453
2628-10,Bailarino (exceto danças populares),1-72.30,2454
2628-15,Coreógrafo,1-72.20,2454
2631-05,Ministro de culto religioso,1-96.20,2460
2631-10,Missionário,1-96.30,2460
2631-15,Teólogo,1-96.40,2460
3003-05,Técnico em eletromecânica,0-39.88,3114
3011-05,Técnico de laboratório industrial,0-36.40,3116
3011-10,Técnico de laboratório de análises físico-químicas (materiais de construção),0-36.30,3116
3011-15,Técnico químico de petróleo,0-36.15,3116
3111-05,Técnico químico,0-36.05,3116
3111-10,Técnico de celulose e papel,0-39.70,3116
3112-05,Técnico em petroquímica,0-36.20,3116
3113-05,"Técnico em materiais, produtos cerâmicos e vidros",0-39.60,3116
3115-10,Técnico de meteorologia,0-39.50,3111
3115-15,"Técnico de utilidade (produção e distribuição de vapor, gases, óleos, combustíveis, energia)",0-39.65,3116
3116-05,Técnico têxtil,0-37.10,3116
3116-10,Técnico têxtil (tratamentos químicos),0-37.40,3116
3116-15,Técnico têxtil de fiação,0-37.20,3116
3116-20,Técnico têxtil de malharia,0-37.50,3116
3116-25,Técnico têxtil de tecelagem,0-37.30,3116
3117-10,Colorista têxtil,7-56.25,8264
3117-15,Preparador de tintas,9-22.15,8264
3117-25,Tingidor de couros,7-61.55,8264
3121-05,Técnico de obras civis,0-33.15,3112
3122-05,Técnico de estradas,0-33.60,3112
3122-10,Técnico de saneamento,0-33.70,3112
3123-05,Técnico em agrimensura,0-33.30,3112
3123-15,Técnico em hidrografia,0-33.50,2148
3123-20,Topógrafo,0-33.80,2148
3131-05,Eletrotécnico,0-34.05,3113
3131-20,Técnico de manutenção elétrica,0-34.35,3113
3131-25,Técnico de manutenção elétrica de máquina,0-34.36,3113
3132-05,Técnico de manutenção eletrônica,0-34.40,3114
3132-10,Técnico de manutenção eletrônica (circuitos de máquinas com comando numérico),0-34.42,3114
3132-15,Técnico eletrônico,0-34.10,3114
3133-15,Técnico de telecomunicações (telefonia),0-34.30,3114
3133-20,Técnico de transmissão (telecomunicações),0-34.55,3114
3134-15,"Encarregado de manutenção de instrumentos de controle, medição e similares",7-05.40,3114
3141-10,Técnico mecânico,0-35.10,3115
3141-15,"Técnico mecânico (calefação, ventilação, refrigeração e climatização)",0-35.50,3115
3141-20,Técnico mecânico (máquinas),0-35.75,3115
3141-25,Técnico mecânico (motores),0-35.70,3115
3143-10,Técnico mecânico (aeronaves),0-35.30,3115
3143-15,Técnico mecânico (embarcações),0-35.60,3115
3147-05,Técnico de acabamento em siderurgia,0-32.18,3117
3147-10,Técnico de aciaria em siderurgia,0-32.14,3117
3147-15,Técnico de fundição em siderurgia,0-32.19,3117
3147-20,Técnico de laminação em siderurgia,0-32.16,3117
3147-25,Técnico de redução na siderurgia (primeira fusão),0-32.12,3117
3147-30,Técnico de refratário em siderurgia,0-32.15,3117
3161-10,Técnico em geologia,0-32.30,3111
3163-05,Técnico de mineração,0-32.05,3117
3163-10,Técnico de mineração (óleo e petróleo),0-32.20,3117
3163-35,Desincrustador (poços de petróleo),7-14.60,3117
3163-40,Cimentador (poços de petróleo),7-14.50,3117
3171-15,Programador de máquinas - ferramenta com comando numérico,0-84.30,3121
3172-05,Operador de computador,3-42.20,3122
3180-05,Desenhista técnico,0-38.05,3118
3180-10,Desenhista copista,0-38.87,3118
3180-15,Desenhista detalhista,0-38.85,3118
3181-05,Desenhista técnico (arquitetura),0-38.45,3118
3181-10,Desenhista técnico (cartografia),0-38.55,3118
3181-15,Desenhista técnico (construção civil),0-38.35,3118
3181-20,Desenhista técnico (instalações hidrossanitárias),0-38.75,3118
3182-05,Desenhista técnico mecânico,0-38.20,3118
3182-10,Desenhista técnico aeronáutico,0-38.80,3118
3182-15,Desenhista técnico naval,0-38.50,3118
3183-05,Desenhista técnico (eletricidade e eletrônica),0-38.30,3118
3183-10,"Desenhista técnico (calefação, ventilação e refrigeração)",0-38.25,3118
3184-05,Desenhista técnico (artes gráficas),0-38.70,3118
3184-10,Desenhista técnico (ilustrações artísticas),0-38.84,3118
3184-15,Desenhista técnico (ilustrações técnicas),0-38.60,3118
3184-20,Desenhista técnico (indústria têxtil),0-38.40,3118
3184-25,Desenhista técnico (mobiliário),0-38.65,3118
3184-30,"Desenhista técnico de embalagens, maquetes e leiautes",0-38.10,3118
3188-10,Modelista de roupas,7-94.20,7435
3188-15,Modelista de calçados,8-02.15,7435
3211-05,Técnico agrícola,0-31.20,3212
3211-10,Técnico agropecuário,0-31.10,3212
3213-05,Técnico em piscicultura,0-31.60,3212
3221-10,Podólogo,5-70.58,3229
3221-30,Esteticista,5-70.40,5141
3222-05,Técnico de enfermagem,0-72.10,3231
3222-10,Técnico de enfermagem de terapia intensiva,0-72.20,3231
3222-15,Técnico de enfermagem do trabalho,0-72.15,3231
3222-20,Técnico de enfermagem psiquiátrica,0-72.30,3231
3222-25,Instrumentador cirúrgico,5-72.50,3231
3222-30,Auxiliar de enfermagem,5-72.10,3231
3222-35,Auxiliar de enfermagem do trabalho,5-72.15,3231
3223-05,Técnico em óptica e optometria,0-75.30,3224
3224-05,Técnico em saúde bucal,0-79.35,3225
3224-10,Protético dentário,8-42.50,3225
3225-05,Técnico de ortopedia,0-79.50,3226
3227-05,Técnico em acupuntura,0-79.15,3229
3227-10,Técnico em quiropraxia,0-79.45,3229
3227-15,Massoterapeuta,5-70.45,5141
3231-05,Técnico em pecuária,0-31.30,3212
3241-05,Técnico em métodos eletrográficos em encefalografia,0-77.40,3133
3241-10,Técnico em métodos gráficos em cardiologia,0-77.30,3133
3241-15,Técnico em radiologia e imagenologia,0-77.20,3133
3242-05,Técnico em patologia clínica,0-31.40,3211
3252-05,Técnico de alimentos,0-39.80,3119
3281-05,Embalsamador,5-92.30,3211
3281-10,Taxidermista,9-49.20,3211
3411-05,Piloto comercial (exceto linhas aéreas),0-41.30,3143
3411-15,Mecânico de voo,0-41.50,3143
3412-20,Patrão de pesca de alto-mar,6-61.40,3142
3412-25,Patrão de pesca na navegação interior,6-61.30,3142
3422-10,Despachante aduaneiro,3-93.85,3422
3423-05,Chefe de serviço de transporte rodoviário (passageiros e cargas),3-54.20,4133
3423-10,Inspetor de serviços de transportes rodoviários (passageiros e cargas),3-54.30,4133
3424-05,Agente de estação (ferrovia e metrô),3-51.20,5112
3425-05,Controlador de tráfego aéreo,3-53.40,3144
3425-15,Fiscal de aviação civil (fac),3-53.50,3144
3511-05,Técnico de contabilidade,0-30.20,3433
3511-10,Chefe de contabilidade (técnico),3-02.20,3431
3513-05,Técnico em administração,0-30.50,3434
3513-10,Técnico em administração de comércio exterior,0-30.60,3434
3514-10,Escrivão judicial,3-14.30,3432
3514-25,Oficial de justiça,3-14.40,3432
3514-30,Auxiliar de serviços jurídicos,3-93.40,3432
3515-05,Técnico em secretariado,3-21.05,4115
3515-10,Taquígrafo,3-23.30,4111
3516-05,Técnico de segurança do trabalho,0-39.45,3119
3517-05,Analista de seguros (técnico),1-98.55,3412
3517-15,Assistente comercial de seguros,0-39.75,3412
3517-20,Assistente técnico de seguros,1-98.47,3412
3517-25,Inspetor de risco,0-39.87,3412
3517-30,Inspetor de sinistros,4-43.50,3412
3517-40,Técnico de seguros,1-98.50,3412
3518-05,Detetive profissional,5-82.40,3450
3518-10,Investigador de polícia,5-82.30,3450
3518-15,Papiloscopista policial,5-82.50,3450
3522-05,Agente de defesa ambiental,3-19.30,3444
3522-10,Agente de saúde pública,3-19.20,3222
3523-05,Metrologista,3-19.50,3449
3532-30,Tesoureiro de banco,3-31.57,4122
3541-20,Agente de vendas de serviços,4-42.20,3415
3541-25,Assistente de vendas,3-93.25,3415
3541-45,Vendedor pracista,4-32.20,3415
3542-05,Comprador,4-22.20,3416
3542-10,Supervisor de compras,4-22.15,3416
3543-05,Analista de exportação e importação,1-98.35,2419
3544-05,Leiloeiro,4-43.20,3417
3544-10,Avaliador de imóveis,4-43.40,3417
3544-15,Avaliador de bens móveis,4-43.30,3417
3545-05,Corretor de seguros,4-41.20,3412
3546-05,Corretor de imóveis,4-41.30,3413
3547-05,Representante comercial autônomo,4-32.30,3421
3548-15,Agente de viagem,5-91.15,3414
3711-05,Auxiliar de biblioteca,3-95.20,3431
3713-05,Técnico em programação visual,0-39.84,3119
3713-10,Técnico gráfico,0-39.83,3119
3721-05,Diretor de fotografia,1-63.50,3131
3721-15,Operador de câmera de televisão,1-63.70,3131
3722-05,Operador de rede de teleprocessamento,3-23.50,3132
3722-10,Radiotelegrafista,3-80.45,3132
3741-05,Técnico em gravação de áudio,8-62.20,3131
3742-10,Maquinista de cinema e vídeo,8-62.60,3131
3743-05,Operador de projetor cinematográfico,8-62.40,3132
3744-20,Montador de filmes,8-62.35,3132
3751-10,Designer de vitrines,4-54.50,3471
3762-05,Acrobata,1-75.40,3474
3762-35,Mágico,1-75.30,3474
3762-45,Palhaço,1-75.20,3474
3762-55,Trapezista,1-75.50,3474
3764-10,Modelo de modas,4-53.30,5210
3771-10,Atleta profissional de futebol,1-82.20,3475
3771-30,Jóquei,1-82.40,3475
3771-35,Piloto de competição automobilística,1-82.30,3475
3771-45,Pugilista,1-82.50,3475
3772-05,Árbitro desportivo,1-89.20,3475
3911-05,Cronoanalista,0-39.30,3119
3911-10,Cronometrista,0-39.40,3119
3911-15,Controlador de entrada e saída,3-44.15,3119
3911-20,Planejista,3-44.20,3119
3911-25,Técnico de planejamento de produção,0-39.35,3119
3911-35,Técnico de matéria-prima e material,0-39.89,3119
3912-05,Inspetor de qualidade,0-39.85,3152
3912-15,Operador de inspeção de qualidade,3-99.17,3152
3912-20,Técnico de painel de controle,0-39.37,3152
3912-25,Escolhedor de papel,7-39.40,3152
4102-05,Supervisor de almoxarifado,3-09.20,4131
4102-10,Supervisor de câmbio,3-02.50,4122
4102-15,Supervisor de contas a pagar,3-01.35,4122
4102-20,Supervisor de controle patrimonial,3-09.30,4131
4102-25,Supervisor de crédito e cobrança,3-02.40,4122
4102-30,Supervisor de orçamento,3-02.30,4122
4102-35,Supervisor de tesouraria,3-02.60,4122
4110-05,Auxiliar de escritório,3-93.10,4121
4110-10,Assistente administrativo,3-11.25,4121
4110-30,Auxiliar de pessoal,3-93.30,4121
4110-35,Auxiliar de estatística,3-99.20,4122
4110-40,Auxiliar de seguros,3-39.70,4121
4110-45,Auxiliar de serviços de importação e exportação,3-93.80,4121
4121-05,Datilógrafo,3-23.20,4112
4121-10,Digitador,3-42.40,4113
4121-15,Operador de mensagens de telecomunicações (correios),3-23.40,4111
4122-05,Contínuo,3-99.70,4190
4131-05,Analista de folha de pagamento,3-39.30,4121
4131-10,Auxiliar de contabilidade,3-31.15,4121
4132-10,Caixa de banco,3-31.40,4122
4132-15,Compensador de banco,3-31.65,4122
4132-25,Escriturário de banco,3-93.15,4122
4132-30,Operador de cobrança bancária,3-39.25,4122
4141-05,Almoxarife,3-91.15,4131
4141-10,Armazenista,3-91.40,4131
4141-15,Balanceiro,3-91.50,4131
4142-05,Apontador de mão de obra,3-93.60,4132
4142-10,Apontador de produção,3-93.70,4132
4151-05,Arquivista de documentos,3-95.30,4141
4151-15,Codificador de dados,3-99.30,4143
4151-20,Fitotecário,3-95.40,4141
4151-25,Kardexista,3-99.60,4141
4151-30,Operador de máquina copiadora (exceto operador de gráfica rápida),3-99.50,4141
4152-05,Carteiro,3-70.30,4142
4211-05,Atendente comercial (agência postal),3-32.20,4211
4211-15,Bilheteiro no serviço de diversões,3-32.30,4211
4211-20,Emissor de passagens,3-32.40,4211
4211-25,Operador de caixa,3-31.45,4211
4212-05,Recebedor de apostas (loteria),3-32.60,4213
4212-10,Recebedor de apostas (turfe),3-32.50,4213
4221-05,"Recepcionista, em geral",3-94.10,4222
4221-10,Recepcionista de consultório médico ou dentário,3-94.30,4222
4221-15,Recepcionista de seguro saúde,3-94.35,4222
4221-20,Recepcionista de hotel,3-94.20,4222
4221-25,Recepcionista de banco,3-94.15,4222
4222-05,Telefonista,3-80.20,4223
4223-15,Operador de telemarketing receptivo,3-80.25,9113
4241-25,Escriturário em estatística,0-30.30,3434
5101-10,Administrador de edifícios,5-51.15,9141
5101-15,Supervisor de andar,5-40.10,5121
5101-20,Chefe de portaria de hotel,5-40.53,9152
5101-30,Chefe de bar,5-32.45,5123
5101-35,Maître,5-32.20,5123
5111-05,Comissário de vôo,5-41.20,5111
5111-10,Comissário de trem,5-41.30,5111
5112-05,Fiscal de transportes coletivos (exceto trem),3-60.35,5112
5112-10,Despachante de transportes coletivos (exceto trem),3-60.25,5112
5112-15,Cobrador de transportes coletivos (exceto trem),3-60.40,5112
5112-20,"Bilheteiro (estações de metrô, ferroviárias e assemelhadas)",3-32.35,5112
5121-05,Empregado doméstico nos serviços gerais,5-40.20,9131
5131-05,Mordomo de residência,5-20.30,5121
5131-15,Governanta de hotelaria,5-20.70,5121
5132-05,Cozinheiro geral,5-31.10,5122
5132-10,Cozinheiro do serviço doméstico,5-31.40,5122
5132-20,Cozinheiro de hospital,5-31.45,5122
5132-25,Cozinheiro de embarcações,5-31.50,5122
5133-15,Camareiro de hotel,5-40.50,5123
5133-20,Camareiro de embarcações,5-40.60,5123
5133-25,Guarda-roupeiro de cinema,5-40.70,5123
5134-05,Garçom,5-32.10,5123
5134-10,Sommelier,5-32.40,5123
